algoritmo,tamano,prob_error,tiempo,resultado
Hamming,8,0.001,1432700.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,800.0,OK
Hamming,8,0.001,600.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,500.0,OK
Hamming,8,0.001,600.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,699.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,500.0,OK
Hamming,8,0.001,800.0,OK
Hamming,8,0.001,999.0,OK
Hamming,8,0.001,1200.0,FIXED
Hamming,8,0.001,1200.0,OK
Hamming,8,0.001,1101.0,OK
Hamming,8,0.001,1001.0,OK
Hamming,8,0.001,1000.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,1099.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,1099.0,OK
Hamming,8,0.001,1101.0,OK
Hamming,8,0.001,1300.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,799.0,OK
Hamming,8,0.001,500.0,OK
Hamming,8,0.001,899.0,OK
Hamming,8,0.001,800.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,600.0,OK
Hamming,8,0.001,1200.0,OK
Hamming,8,0.001,600.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,901.0,OK
Hamming,8,0.001,1200.0,OK
Hamming,8,0.001,1301.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,1000.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,500.0,OK
Hamming,8,0.001,600.0,OK
Hamming,8,0.001,600.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,899.0,OK
Hamming,8,0.001,599.0,OK
Hamming,8,0.001,499.0,OK
Hamming,8,0.001,1300.0,OK
Hamming,8,0.001,14600.0,OK
Hamming,8,0.001,1000.0,OK
Hamming,8,0.001,1000.0,OK
Hamming,8,0.001,1300.0,OK
Hamming,8,0.001,1200.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,700.0,OK
Hamming,8,0.001,500.0,OK
Hamming,8,0.001,600.0,OK
Hamming,8,0.001,1000.0,OK
Hamming,8,0.001,800.0,OK
Hamming,8,0.001,1499.0,OK
Hamming,8,0.001,1200.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,1001.0,OK
Hamming,8,0.001,2301.0,OK
Hamming,8,0.001,799.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,900.0,OK
Hamming,8,0.001,800.0,OK
Hamming,8,0.001,1100.0,OK
Hamming,8,0.001,8499.0,OK
Hamming,8,0.001,4301.0,OK
Hamming,8,0.001,6001.0,OK
Hamming,8,0.001,2199.0,OK
Hamming,8,0.001,2299.0,OK
